2631,碧桂园凰城,9663,(汉南汉南其它)马影河大道碧桂园凰城,1至1.8元/平米/月,131栋,1994户
2684,绿地城南岛太白湖畔C区,0,(汉南汉南其它)兴一路绿地城南岛太白湖畔C区,暂无信息,4栋,24户
2685,碧霞轩19号,4399,(汉南汉南其它)碧栖路碧霞轩19号,暂无信息,1栋,6户
2686,汉南大道350号,5110,(汉南汉南其它)汉南大道350号,暂无信息,1栋,6户
2687,绿地城北岛孝贤坊,18124,(汉南汉南其它)武汉市汉南区,暂无信息,2栋,2户
2688,纱帽正街142号,5154,(汉南汉南其它)纱帽正街142号,暂无信息,1栋,24户
2689,凤凰苑,5416,(汉南汉南其它)兴一路凤凰苑,暂无信息,13栋,523户
2690,凤凰苑,5416,(汉南汉南其它)兴一路凤凰苑,暂无信息,13栋,523户
2691,滨江路315附1号,0,(汉南汉南其它)滨江路315附1号,暂无信息,1栋,36户
2692,碧霞轩19号,4399,(汉南汉南其它)碧栖路碧霞轩19号,暂无信息,1栋,6户
2693,绿地城北岛孝贤坊,18124,(汉南汉南其它)武汉市汉南区,暂无信息,2栋,2户
2694,纱帽正街142号,5154,(汉南汉南其它)纱帽正街142号,暂无信息,1栋,24户
2695,圣特立国际花园,7942,(汉南汉南其它)月亮湾路圣特立国际花园,1.5元/平米/月,34栋,2477户
2696,薇西小区,6025,(汉南汉南其它)薇湖路278号,暂无信息,18栋,648户
2697,御景华府,7636,(汉南汉南其它)兴一路251号,1.1元/平米/月,17栋,1586户
2698,汉武国际城,7052,(汉南汉南其它)南二路马影河畔,1.3元/平米/月,14栋,1446户
2699,左岸风景苑,6897,(汉南汉南其它)纱帽正街155号,暂无信息,8栋,298户
2700,东庭郡园,7216,(汉南汉南其它)兴城大道与兴一路交汇处,1元/平米/月,7栋,926户
2701,绿地城,10245,(汉南汉南其它)马影河大道（汉洪高速汉南出口处）,1.9元/平米/月,75栋,6599户
2702,浅月湾映翠湾,10963,(汉南汉南其它)马影河大道浅月湾映翠湾,0.6至1.5元/平米/月,97栋,234户
2703,河畔花林,11909,(汉南汉南其它)马影河大道河畔花林,暂无信息,9栋,39户
2704,汉南天地,7107,(汉南汉南其它)纱帽正街与滨河大道交汇处,1.6元/平米/月,6栋,1145户
2705,碧桂园桂湖映月,8760,(汉南汉南其它)马影河大道碧桂园桂湖映月,1.5元/平米/月,1栋,288户
2706,碧桂园凤凰湾,0,(汉南汉南其它)纱帽正街马影河东侧,1.8元/平米/月,26栋,1463户
2707,育才路320号,0,(汉南汉南其它)育才路320号,暂无信息,1栋,36户
2708,博学阳光城,7682,(汉南汉南其它)育才路103号,暂无信息,3栋,319户
2709,浅月湾,10644,(汉南汉南其它)马影河大道浅月湾,1.2元/平米/月,26栋,104户
2710,碧桂园江汉山色,9178,(汉南汉南其它)马影河大道碧桂园江汉山色,1至1.5元/平米/月,41栋,920户
2711,北岛红郡,15291,(汉南汉南其它)兴三路北岛红郡,1.8至2.5元/平米/月,13栋,42户
